4/12/2023,4/13/2023,4/14/2023,4/15/2023,4/16/2023,4/17/2023,4/18/2023,4/19/2023,4/20/2023,4/21/2023,4/22/2023,4/23/2023,4/24/2023,4/25/2023,4/26/2023,4/27/2023,4/28/2023,4/29/2023,4/30/2023,5/1/2023,5/2/2023,5/3/2023,5/4/2023,5/5/2023,5/6/2023,5/7/2023,5/8/2023,5/9/2023,5/10/2023,5/11/2023,5/12/2023,5/13/2023,5/14/2023,5/15/2023,5/16/2023,5/17/2023,5/18/2023,5/19/2023,5/20/2023,5/21/2023,5/22/2023,5/23/2023,5/24/2023,5/25/2023,5/26/2023,5/27/2023,5/28/2023,5/29/2023,5/30/2023,5/31/2023,6/1/2023,6/2/2023,6/3/2023,6/4/2023,6/5/2023,6/6/2023,6/7/2023,6/8/2023,6/9/2023,6/10/2023,6/11/2023
0.06,0.06,0.06,0.06,0.13,1.66,0.77,0.32,3.14,3.20,3.90,3.39,3.39,1.79,1.73,5.70,3.52,4.80,3.20,0.58,1.34,1.98,0.45,3.01,3.97,2.43,0.51,3.65,2.37,3.65,0.45,4.99,0.32,0.32,2.43,0.32,0.32,1.86,0.32,4.74,3.58,0.45,0.45,1.86,3.90,4.03,4.80,3.14,3.14,3.65,2.30,1.54,10.11,0.51,4.67,6.85,1.09,3.58,3.33,3.14,8.45
0.06,0.06,0.06,0.06,0.13,2.18,0.38,0.32,4.54,3.14,1.73,3.20,2.69,1.28,2.50,7.55,3.01,5.82,1.41,0.32,1.73,0.70,0.32,1.79,3.71,0.51,0.70,5.63,1.79,3.01,0.32,4.67,0.32,0.32,1.15,0.32,0.32,0.90,0.32,6.91,3.26,0.45,0.38,2.18,1.73,6.02,4.29,2.11,4.54,4.80,2.30,2.05,9.98,0.45,5.50,8.96,2.24,1.98,3.52,5.31,9.86
0.06,0.06,0.06,0.06,0.13,1.22,0.32,1.79,5.50,3.46,3.26,3.01,1.86,2.94,0.45,3.26,2.94,3.14,1.66,0.32,1.47,0.32,0.32,2.30,0.32,0.32,1.98,4.74,1.54,1.86,0.26,1.09,0.32,0.32,1.66,0.32,0.32,2.37,0.32,8.32,2.82,0.45,0.32,2.11,3.78,4.54,6.40,2.62,3.84,5.57,2.69,4.74,6.46,0.32,3.14,8.51,4.03,3.84,4.86,4.29,7.81
0.06,0.06,0.06,0.06,0.13,0.32,0.32,3.78,5.57,3.26,2.94,3.07,0.32,2.50,1.28,1.66,2.56,2.37,3.33,0.32,0.51,0.32,0.32,1.34,0.26,0.26,2.50,3.71,2.30,0.64,0.26,1.73,1.22,0.32,2.24,0.32,3.01,3.26,0.32,5.57,3.07,3.78,0.32,2.05,2.11,3.90,5.63,2.56,7.04,4.35,3.39,6.21,4.42,0.32,2.18,6.78,7.74,2.62,4.29,4.48,4.80
0.06,0.06,0.06,0.06,0.13,0.32,1.98,2.88,5.38,3.33,1.92,2.18,2.11,1.98,2.56,0.58,2.11,3.46,1.92,0.64,0.32,0.32,0.32,1.79,0.26,0.26,5.31,0.96,1.54,0.96,0.26,2.50,0.90,0.32,2.18,0.32,6.02,5.18,0.26,5.06,2.30,4.74,0.32,1.47,1.79,3.65,5.44,1.47,7.42,2.50,3.20,5.31,1.47,0.32,0.32,3.97,5.89,4.22,2.30,1.41,3.20
0.06,0.06,0.06,0.06,0.13,0.32,1.79,4.16,5.18,2.30,0.38,2.62,1.98,0.96,3.78,0.58,2.11,2.24,2.18,1.73,0.32,0.26,0.26,3.26,0.19,0.26,5.70,0.51,0.70,1.22,0.26,2.82,2.18,0.58,1.73,0.26,6.59,5.18,0.19,1.73,3.26,6.27,0.32,1.92,2.62,3.14,4.10,1.86,6.78,0.26,2.75,3.20,1.41,0.26,0.32,2.24,6.34,3.65,0.64,1.34,2.05
0.06,0.06,0.06,0.06,0.13,0.32,2.05,1.98,3.46,1.15,0.45,3.71,3.58,0.64,3.71,0.45,0.90,2.11,1.28,2.30,0.26,0.26,0.26,3.58,0.19,0.26,5.38,0.45,0.70,1.47,0.26,2.94,2.43,0.70,0.51,0.26,7.17,3.33,0.19,2.50,5.06,7.42,0.32,2.18,1.47,1.54,5.50,1.73,2.94,0.26,2.88,0.32,0.58,0.26,0.26,2.18,4.93,4.16,1.60,0.83,2.37
0.06,0.06,0.06,0.06,0.13,1.22,1.54,0.83,3.90,0.64,0.38,4.74,3.71,0.45,4.48,0.38,0.32,1.41,0.32,3.20,0.26,0.26,0.26,3.33,0.19,0.32,4.16,2.30,0.83,1.66,0.26,2.11,2.37,1.02,0.64,0.26,3.26,2.56,0.19,2.82,3.46,3.58,0.45,2.62,1.92,3.58,6.53,4.10,5.18,0.26,3.65,0.32,0.32,0.32,0.32,0.45,0.06,3.39,2.37,1.09,1.86
0.06,0.06,0.06,0.06,0.13,3.39,0.32,3.01,5.12,0.45,1.86,4.93,1.92,0.38,2.50,0.38,0.26,0.83,0.32,1.79,0.26,0.26,0.13,1.66,0.19,0.32,1.41,3.39,2.62,1.22,0.26,0.83,1.98,1.54,0.45,0.26,2.30,0.70,0.19,1.60,6.34,8.64,2.43,0.38,1.66,3.39,5.50,5.18,4.93,0.26,3.39,0.32,0.32,0.32,1.34,0.32,1.41,0.77,3.26,0.70,1.41
0.06,0.06,0.06,0.06,0.06,2.88,1.66,3.01,4.16,0.45,1.54,5.12,2.05,0.32,2.11,0.38,0.26,0.58,0.32,1.86,0.26,0.26,0.13,2.30,0.19,0.32,1.22,4.10,3.39,0.45,0.26,0.45,1.73,2.62,0.38,0.32,1.73,1.54,0.19,1.34,6.85,10.82,6.46,0.26,1.22,4.42,3.71,6.27,4.86,0.26,5.44,0.32,0.32,0.32,1.60,0.32,1.98,0.58,3.20,0.38,0.90
